	first	answer	prediction	bert	bleu
0	第一条　（国内犯）　１　この法律は、日本国内において罪	を犯したすべての者に適用する。	国内において犯した者に適用する。	0.8681816458702087	40.35278637463991
1	第一条　（国内犯）　２　日本国外にある日本船舶又は日本航空機内におい	て罪を犯した者についても、前項と同様とする。	て犯した者に適用する。	0.7865404486656189	13.871978089670034
2	第二条　（すべての者の国外犯）　１　この法律は、日本国外において次に掲	げる罪を犯したすべての者に適用する。	この法律は、日本国外において罪を犯したすべての者に適用する。	0.8252042531967163	51.086369427314935
3	第三条　（国民の国外犯）　１　この法律は、日本国外において次に掲	げる罪を犯した日本国民に適用する。	日本国民が日本国外で犯した罪についても、この法律を適用する。	0.7978751063346863	11.451997463067546
4	第三条の二　（国民以外の者の国外犯）　１　この法律は、日本国外において日本国民に対して次	に掲げる罪を犯した日本国民以外の者に適用する。	常に本国民に対してかかる罪を犯した者に適用する。	0.8397094011306763	37.709297891717654
5	第四条　（公務員の国外犯）　１　この法律は、日本国外において次に掲げ	る罪を犯した日本国の公務員に適用する。	げる罪を犯した公務員に適用する。	0.9709365367889404	53.41952993984788
6	第四条の二　（条約による国外犯）　１　第二条から前条までに規定するもののほか、この法律は、日本国外において、第二編の罪であって条約によ	り日本国外において犯したときであっても罰すべきものとされているものを犯したすべての者に適用する。	って刑罰を定めた条約による国外での罪に適用される。	0.7722110152244568	2.8302802453755613
7	第五条　（外国判決の効力）　１　外国において確定裁判を受けた者であっても、同	一の行為について更に処罰することを妨げない。	日本の判決として、その効力を有するものとします。	0.6891990303993225	3.4585921141027365
8	第五条　（外国判決の効力）　１　ただし、犯人が既に外国において言い渡された刑の全部又は一	部の執行を受けたときは、刑の執行を減軽し、又は免除する。	の全て又は一部について、日本国内で生じる効力を有する。	0.6771499514579773	4.785196045370111
9	第六条　（刑の変更）　１　犯罪後の法律によって刑の変更があ	ったときは、その軽いものによる。	る場合において、その刑を変更する。	0.7524831891059875	8.054496384843702
10	第七条　（定義）　１　この法律において「公務員」とは、国又は地方公共団体の職員そ	の他法令により公務に従事する議員、委員その他の職員をいう。	うち、司法警察消防労働農林水産災害次等の職務を受け持つ者である者とし、外務人事財政通信税務交通教育文化保安公害衛生労福住宅法務企業火動観光金融競物経済他の任務に従事する者である者を婦人とする者を世話す相続補佐、手続などの職務公務に示口方法理解し、者である者であるとしたても、すべての団体に団法人用例の職務期数団次務職務団務務述入職務公応団法人法人入団法人泣法法泌法法任務法務法体ノ職務任公ノブ務法体法法職法法公法法法法法法法団法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法法．を適用する。	0.5370422005653381	1.2853320162518407
