	first	answer	prediction	bert	bleu
0	第一条　　１　天皇は、日本国の象徴であり日本国民統合の象徴であつ	て、この地位は、主権の存する日本国民の総意に基く。	て、この地位は、主権の存する日本国民の総意に基くものである。	0.9767521619796753	78.28785637123026
1	第二条　　１　皇位は、世襲のものであつて、国会の議決した皇	室典範の定めるところにより、これを継承する。	法律の定めるところにより、国会の議決に基づいて皇位を継承する。	0.8099682331085205	40.21074690812006
2	第三条　　１　天皇の国事に関するすべての行為には、内閣の助	言と承認を必要とし、内閣が、その責任を負ふ。	内閣の助言と承認を必要とし、内閣がその責任を負う。	0.9121118187904358	57.49089871602278
3	第四条　　１　天皇は、この憲法の定める国事に関する行為	のみを行ひ、国政に関する権能を有しない。	のみを行い、国政に関する権能を有しない。	0.969660758972168	76.91605673134588
4	第四条　　２　天皇は、法律の定めるところにより、その	国事に関する行為を委任することができる。	法令の定めるところにより、くふびならせべき。	0.6734849214553833	3.673526562988939
5	第五条　　１　皇室典範の定めるところにより摂政を置くときは、	摂政は、天皇の名でその国事に関する行為を行ふ。	摂行したり。	0.6716272234916687	1.4456752008489664
6	第五条　　１　この場合には、前条第	一項の規定を準用する。	二の手続によらず、天候問題に答えますキラッ！	0.636870265007019	2.8398387225677895
7	第六条　　１　天皇は、国会の指名に基いて	、内閣総理大臣を任命する。	内閣の助言により、国家に関する重要な公務を執行することが可能であるのみである。	0.6627129912376404	2.352622489487909
8	第六条　　２　天皇は、内閣の指名に基いて、最高	裁判所の長たる裁判官を任命する。	裁者の責任を負ひ、この任命及びその任務を執行する。	0.714470624923706	6.150343144231885
9	第七条　　１　天皇は、内閣の助言と承認により、国民	のために、左の国事に関する行為を行ふ。	ところにより、範囲で助言し、天皇社会的業に従ふ。	0.7251955270767212	3.2342452920962157
10	第八条　　１　皇室に財産を譲り渡し、又は皇室が、財産を譲り受け、若し	くは賜与することは、国会の議決に基かなければならない。	しけある者又は皇室が財産を譲り受け取ることはできない。	0.7099717855453491	6.870897039956452
11	第九条　　１　日本国民は、正義と秩序を基調とする国際平和を誠実に希求し、国権の発動たる戦争と、武	力による威嚇又は武力の行使は、国際紛争を解決する手段としては、永久にこれを放棄する。	力による脅威の推進回答又は使用は、これを放棄すると共に、これをメ国の目標とし、いるこの否応に現在国際関係でののる態度である。	0.745428204536438	11.139118194382196
12	第九条　　２　前項の目的を達するため、陸海空軍	その他の戦力は、これを保持しない。	に所定の拠点、装備及び陸海空軍など、防衛力を保持し、之を修練し、威力を強める。	0.6714643239974976	6.667489966054597
13	第九条　　２　国の交戦権は、	これを認めない。	この権を有し	0.738268256187439	12.44023474812678
14	第十条　　１　日本国民たる要件は、	法律でこれを定める。	法律で定める。	0.9358416795730591	27.403115968356843
15	第十一条　　１　国民は、すべての基本的人	権の享有を妨げられない。	権を有し、これによる任意の差別なく、その資格によらず、公共の地位を与ふるする。	0.6715850830078125	2.1300733682208985
16	第十一条　　１　この憲法が国民に保障する基本的人権は、侵すことのでき	ない永久の権利として、現在及び将来の国民に与へられる。	ない。	0.7627792358398438	0.0
17	第十二条　　１　この憲法が国民に保障する自由及び権利は、国民の不	断の努力によつて、これを保持しなければならない。	当の法による。	0.7615315914154053	2.017602272943647
18	第十二条　　１　又、国民は、これを濫用してはならないのであつて、	常に公共の福祉のためにこれを利用する責任を負ふ。	憲法の原則に照らして、それを濫用してはならない。	0.7144277095794678	3.4585921141027365
