	first	answer	prediction	bert	bleu
0	第一条　　１　天皇は、日本国の象徴であり日本国民統合の象徴であつ	て、この地位は、主権の存する日本国民の総意に基く。	て、この地位は、主権の存する日本国民の総意に基く。	1.0	100.00000000000004
1	第二条　　１　皇位は、世襲のものであつて、国会の議決した皇	室典範の定めるところにより、これを継承する。	室典範の定めるところにより、これを継承する。	1.0	100.00000000000004
2	第三条　　１　天皇の国事に関するすべての行為には、内閣の助	言と承認を必要とし、内閣が、その責任を負ふ。	言と承認を必要とし、内閣が、その責任を負ふ。	0.9999998807907104	100.00000000000004
3	第四条　　１　天皇は、この憲法の定める国事に関する行為	のみを行ひ、国政に関する権能を有しない。	のみを行い、国政に関する権能を有しない。	0.9696606993675232	76.91605673134588
4	第四条　　２　天皇は、法律の定めるところにより、その	国事に関する行為を委任することができる。	勅語及び冠帯の事等を行ふ。	0.7477021217346191	4.540013809283726
5	第五条　　１　皇室典範の定めるところにより摂政を置くときは、	摂政は、天皇の名でその国事に関する行為を行ふ。	皇太子又は皇太子の嗣子がこれをつとめる。摂政が国事に関する行為をする場合には、内閣の助言と承認を必要とする。	0.7348750829696655	13.220369604972081
6	第五条　　１　この場合には、前条第	一項の規定を準用する。	一項の規定をその他の皇族に準用する。	0.8502111434936523	38.67706276352344
7	第六条　　１　天皇は、国会の指名に基いて	、内閣総理大臣を任命する。	内閣総理大臣を任命する。	0.9797925353050232	86.6877899750182
8	第六条　　２　天皇は、内閣の指名に基いて、最高	裁判所の長たる裁判官を任命する。	裁判官を任命する。	0.945303201675415	43.45982085070784
9	第七条　　１　天皇は、内閣の助言と承認により、国民	のために、左の国事に関する行為を行ふ。	に代表して、次の国事に関する行為を行ふ。	0.8610926866531372	54.3742768222752
10	第八条　　１　皇室に財産を譲り渡し、又は皇室が、財産を譲り受け、若し	くは賜与することは、国会の議決に基かなければならない。	くは財産を購入した時は、その譲渡、譲受又は購入には、国会の同意を得らなければならない。	0.7363407611846924	20.89685256289425
11	第九条　　１　日本国民は、正義と秩序を基調とする国際平和を誠実に希求し、国権の発動たる戦争と、武	力による威嚇又は武力の行使は、国際紛争を解決する手段としては、永久にこれを放棄する。	力による威嚇又は戦争の準備を否認する。陸海空軍その他の戦力は、この憲法が定める規紀に従つて次の職務を執行するべきものであつて、その他の目的のためには、いづれもこの憲法が定める陸海空軍その他の戦力に属さず、いづれも国際紛争を解決する手段としては、一切を放棄する。	0.7000628709793091	20.728957745174277
12	第九条　　２　前項の目的を達するため、陸海空軍	その他の戦力は、これを保持しない。	その他の戦力は、これを保持しない。国の交戦権は、これを認めない。	0.8456510901451111	48.624389134644176
13	第九条　　２　国の交戦権は、	これを認めない。	これを認めない。	1.0000003576278687	100.00000000000004
14	第十条　　１　日本国民たる要件は、	法律でこれを定める。	法律でこれを定める。	1.0	100.00000000000004
15	第十一条　　１　国民は、すべての基本的人	権の享有を妨げられない。	権を享有し、国がこれを侵してはならない。	0.7772589325904846	6.608973813188645
16	第十一条　　１　この憲法が国民に保障する基本的人権は、侵すことのでき	ない永久の権利として、現在及び将来の国民に与へられる。	ない永遠の権利であつて、この憲法が立法その他の国政の行為の基準となると同時に、その解釈を通じて実率されるべきものである。	0.7089024782180786	3.182498075985838
17	第十二条　　１　この憲法が国民に保障する自由及び権利は、国民の不	断の努力によつて、これを保持しなければならない。	断な義務として人権を侵すことのないよう、また、公共の福祉のためにこれを制約することのないように努めなければならない。	0.7144419550895691	12.524296922554008
18	第十二条　　１　又、国民は、これを濫用してはならないのであつて、	常に公共の福祉のためにこれを利用する責任を負ふ。	常に公共の福祉の増進に必要な節制を承認しなけれはばならぬ。	0.7448603510856628	26.104909033290696
19	第十三条　　１　すべて国民は、個人	として尊重される。	として尊重される。生命、自由及び幸福追求に対する国民の権利については、公共の福祉に反しない限り、立法その他の国政の上で、最大の尊重を必要とする。	0.6168819665908813	11.580903994207308
20	第十三条　　１　生命、自由及び幸福追求に対する国民の権利については、公共の福祉	に反しない限り、立法その他の国政の上で、最大の尊重を必要とする。	に反しない範囲に於て、立憲政治により保障する。	0.795962929725647	8.07335214185555
21	第十四条　　１　すべて国民は、法の下に平等であつて、人種、信条、性別、社会的身分又	は門地により、政治的、経済的又は社会的関係において、差別されない。	は宗教上の階級により、政治的、経済的又は社会的関係において、差別を受けない。	0.9031066298484802	68.12455364200612
22	第十四条　　２　華族その他の貴族の制	度は、これを認めない。	度は、これを認めない。	0.9999998807907104	100.00000000000004
23	第十四条　　３　栄誉、勲章その他の栄典の授与	は、いかなる特権も伴はない。	は、いかなる特権も伴はない。	1.0	100.00000000000004
24	第十四条　　３　栄典の授与は、現にこれを有し、又は将来これ	を受ける者の一代に限り、その効力を有する。	を得る者の身分を優位にしない。	0.7894974946975708	7.510002314354895
25	第十五条　　１　公務員を選定し、及びこれを罷免す	ることは、国民固有の権利である。	る権能は、国民全体に属す。	0.8189151287078857	16.14682615668325
26	第十五条　　２　すべて公務員は、全体の奉仕者で	あつて、一部の奉仕者ではない。	あり、全国民に対する責任を負ふ。	0.6717190742492676	4.515183688171633
27	第十五条　　３　公務員の選挙については、成年	者による普通選挙を保障する。	者の投票による普通選挙を以て行う。	0.8251147270202637	34.48444257953326
28	第十五条　　４　すべて選挙における投票の秘密	は、これを侵してはならない。	は、これを侵してはならない。買収及び恐迫は選挙の自由を侵してはならない。	0.7566739320755005	37.494051432044955
29	第十五条　　４　選挙人は、その選択に関し公的	にも私的にも責任を問はれない。	な影響を受け続けない。	0.7577981948852539	7.11586419732111
30	第十六条　　１　何人も、損害の救済、公務員の罷免、法律、命令又は規則の制定、廃止又は改正その他の事項に関	し、平穏に請願する権利を有し、何人も、かかる請願をしたためにいかなる差別待遇も受けない。	して、請願をしなう権利を有する。	0.8501332998275757	1.807313371755598
