	first	answer	prediction	bert	bleu
0	第一条　（基本原則）　１　私権は、公共の福祉に適	合しなければならない。	私権は、公共の福祉に適合する範囲でのみ行使されるべきです。	0.6208687424659729	2.1476912089159055
1	第一条　（基本原則）　２　権利の行使及び義務の履行は、信義	に従い誠実に行わなければならない。	に従い誠実に行わなければならない。	1.0	100.00000000000004
2	第一条　（基本原則）　３　権利の濫用は、	これを許さない。	これを禁止し、損害の賠償を決定する。	0.7162085175514221	7.495553473355845
3	第二条　（解釈の基準）　１　この法律は、個人の尊厳と両性の本質的平	等を旨として、解釈しなければならない。	に基づいて解釈することがある。	0.778877854347229	3.600104948631532
4	第三条　　１　私権の享有は、	出生に始まる。	法律や契約による制限を受ける。	0.6990169286727905	5.669791110976001
5	第三条　　２　外国人は、法令又は条約の規定により禁	止される場合を除き、私権を享有する。	された表現せよ。	0.6969353556632996	3.5275023606301383
6	第三条の二　　１　法律行為の当事者が意思表示をした時に意思能力を	有しなかったときは、その法律行為は、無効とする。	この法律行為の当事者が意思表示をした時、意思能力があると認められることとする。	0.7137264609336853	7.668702374725506
7	第四条　（成年）　１　年齢十八歳をもっ	て、成年とする。	成年として扱われるのは、十八歳以上である。	0.7027690410614014	6.150343144231885
8	第五条　（未成年者の法律行為）　１　未成年者が法律行為をするには、その法	定代理人の同意を得なければならない。	定められた規定に従わなければならない。	0.7119047045707703	32.03558799120807
9	第五条　（未成年者の法律行為）　１　ただし、単に権利を得、又は義務を免れ	る法律行為については、この限りでない。	に限り、利益を得ることを目的として、解釈しなければならない。	0.6958436369895935	5.039518688486958
10	第五条　（未成年者の法律行為）　２　前項の規定に反する法律行為	は、取り消すことができる。	無効である。	0.7467827796936035	7.545383788761362
11	第五条　（未成年者の法律行為）　３　第一項の規定にかかわらず、法定代理人が目的を定めて処分を許した財産	は、その目的の範囲内において、未成年者が自由に処分することができる。	された財産についての処分の執行について、未成年者自身で目的を定めた場合を除き、法定代理人の許可を受けなければならない。	0.7306290864944458	10.704604894593338
12	第五条　（未成年者の法律行為）　３　目的を定めないで処分を許した財	産を処分するときも、同様とする。	これは認められない。	0.7381576299667358	3.5275023606301383
13	第六条　（未成年者の営業の許可）　１　一種又は数種の営業を許された未成年者は、その営	業に関しては、成年者と同一の行為能力を有する。	業を行うことが出来る。	0.728886067867279	2.389389104935703
14	第六条　（未成年者の営業の許可）　２　前項の場合において、未成年者がその営業に堪えることができない事由があるときは、その法定代	理人は、第四編（親族）の規定に従い、その許可を取り消し、又はこれを制限することができる。	により許可される。	0.7496213912963867	0.23113418402544342
15	第七条　（後見開始の審判）　１　精神上の障害により事理を弁識する能力を欠く常況にある者については、家庭裁判所は、本人、配偶者、四親等内の親族、未成年後	見人、未成年後見監督人、保佐人、保佐監督人、補助人、補助監督人又は検察官の請求により、後見開始の審判をすることができる。	の申請に基づいて審判を行い、審判技官による聴取も行われることとなる。	0.7605887651443481	1.9167672123181205
16	第八条　（成年被後見人及び成年後見人）　１　後見開始の審判を受けた者は、成年被後	見人とし、これに成年後見人を付する。	見守ることが必要とから、後引き継がれるものとされる。	0.663933515548706	3.4585921141027356
17	第九条　（成年被後見人の法律行為）　１　成年被後見人の法律行為は	、取り消すことができる。	成年被後見人の法律行為は、その効力を持つものとします。	0.6281359195709229	2.5540496664715904
