	first	answer	prediction	bert	bleu
0	第一条　（基本原則）　１　私権は、公共の福祉に適	合しなければならない。	合，し，な，け，れ，ば，な，ら，な，い，。	0.5508888959884644	2.159701133933343
1	第一条　（基本原則）　２　権利の行使及び義務の履行は、信義	に従い誠実に行わなければならない。	に，従，い，誠，実，に，行，わ，な，け，れ，ば，な，ら，な，い，。	0.5142956972122192	1.5883027492953543
2	第一条　（基本原則）　３　権利の濫用は、	これを許さない。	こ，れ，を，許，さ，な，い，。	0.5506360530853271	3.1251907639724417
3	第二条　（解釈の基準）　１　この法律は、個人の尊厳と両性の本質的平	等を旨として、解釈しなければならない。	等，を，旨，と，し，て，、，解，釈，し，な，け，れ，ば，な，ら，な，い，。	0.5470592975616455	1.771912247261539
4	第三条　　１　私権の享有は、	出生に始まる。	公正，か，つ，平，等，な，社，会，の発，展，に，資，す，る，よ，う，努，め，な，け，れ，ば，な，ら，な，い，。	0.4829077124595642	0.8010354164744189
5	第三条　　２　外国人は、法令又は条約の規定により禁	止される場合を除き、私権を享有する。	ず，さ，れ，な，い，限，り，、，日，本，国，に，おける，権利，を，享有，できる，。	0.5454034209251404	1.493369524819332
6	第三条の二　　１　法律行為の当事者が意思表示をした時に意思能力を	有しなかったときは、その法律行為は、無効とする。	有，し，て，い，な，け，れ，ば，、，有，効，と，み，な，さ，れ，な，い，。	0.5156044363975525	1.3113617852675474
7	第四条　（成年）　１　年齢十八歳をもっ	て、成年とする。	た，者，が，成，年，と，み，な，さ，れ，る，。	0.6130430698394775	1.958224832501124
8	第五条　（未成年者の法律行為）　１　未成年者が法律行為をするには、その法	定代理人の同意を得なければならない。	律，行，為，の，有，効，性，を，保，証，す，る，た，め，、，保，護，者，の同，意，が，必，要，で，あ，る，。	0.47309887409210205	0.8864914124518566
9	第五条　（未成年者の法律行為）　１　ただし、単に権利を得、又は義務を免れ	る法律行為については、この限りでない。	る，こ，と，を，目，的，と，し，て，行，為，を，す，る，場，合，を，除，き，、，未，成，年，者，が，法，律，上，の，行，為，を，す，る，場，合，、，そ，の，行，為，は，、，裁，判，所，の，許，可，を，得，な，け，れ，ば，な，ら，な，い，。	0.49395841360092163	0.4499655891876018
10	第五条　（未成年者の法律行為）　２　前項の規定に反する法律行為	は、取り消すことができる。	は、無効となる。	0.8541592359542847	15.207218222740094
11	第五条　（未成年者の法律行為）　３　第一項の規定にかかわらず、法定代理人が目的を定めて処分を許した財産	は、その目的の範囲内において、未成年者が自由に処分することができる。	に，つ，い，て，は，、，未，成，年，者，の，法，律，行，為，が，有，効，と，な，る，。	0.5418352484703064	1.476132136851538
